gene,N1,N2,N3,CO2,CO4,CO5,CA1,CA2,CA3,CA4
ENSG00000223972,1,0,0,2,0,0,2,1,2,0
ENSG00000227232,574,247,360,275,352,276,638,343,463,165
ENSG00000243485,2,0,0,0,0,0,1,0,0,0
ENSG00000237613,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,6,0,3,2,3,0,0,1,3,0
ENSG00000239945,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,0,0,0,0,0,0,0,0,0,0
ENSG00000237683,27,7,8,73,11,2,13,1,477,7
ENSG00000268903,1,0,0,0,0,0,0,0,0,0
ENSG00000269981,0,0,0,0,0,0,0,0,0,0
ENSG00000239906,0,0,0,1,0,1,0,0,1,0
ENSG00000241860,5,2,4,9,2,2,12,3,8,0
ENSG00000222623,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0,0,0,0
ENSG00000228463,14,20,5,23,12,9,68,36,49,2
ENSG00000241670,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,1,1,0,3,7,3,3,4,8,2
ENSG00000250575,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0,0,0,0,0
ENSG00000235249,0,0,0,0,0,0,0,0,0,0
ENSG00000269732,0,0,0,0,0,0,0,0,0,0
ENSG00000256186,0,0,0,0,0,0,0,0,0,0
ENSG00000236601,0,0,0,0,0,0,0,0,0,0
ENSG00000236743,0,0,0,0,0,0,0,0,0,0
ENSG00000236679,0,0,0,0,0,0,0,0,0,0
ENSG00000231709,0,0,0,2,1,1,0,1,3,4
ENSG00000235146,0,0,0,0,0,0,0,0,0,0
ENSG00000239664,0,0,0,1,0,0,0,0,1,0
ENSG00000230021,1,0,1,2,1,0,0,1,1,0
ENSG00000223659,0,0,0,0,0,0,0,0,0,0
ENSG00000225972,7040,103,8914,123,115,73,151,114,209,63
ENSG00000225630,1449,1658,12023,11848,2314,1591,24676,3552,5519,7443
ENSG00000237973,4378,6538,102087,5656,8197,3729,7901,9236,16656,4127
ENSG00000229344,651,1739,1288,1260,1945,945,1689,1965,3251,851
ENSG00000240409,1,1,7,4,9,2,2,9,3,8
ENSG00000248527,15152,14470,25627,13420,17666,13591,23790,30250,31325,11906
ENSG00000198744,816,1665,660,1114,1271,1009,4818,2059,2325,778
ENSG00000268663,0,0,0,0,0,0,0,0,0,0
ENSG00000185097,0,0,0,0,0,0,0,0,0,0
ENSG00000229376,0,0,0,0,0,0,0,0,0,0
ENSG00000224956,32,19,17,52,48,36,64,40,93,23
ENSG00000235373,5,1,3,7,5,0,1,1,0,3
ENSG00000223181,0,0,0,0,0,0,0,0,0,0
ENSG00000240618,2,0,0,0,0,1,0,0,2,3
ENSG00000229905,0,0,0,0,0,0,0,0,0,0
ENSG00000228327,11,1,5,7,8,9,4,1,5,15
ENSG00000237491,15,4,15,38,18,12,42,7,10,14
ENSG00000230092,7,1,8,6,4,8,7,4,0,5
ENSG00000269831,0,0,0,1,0,0,0,0,1,0
ENSG00000240453,1,0,1,0,0,0,1,0,0,0
ENSG00000177757,3,0,9,37,7,8,6,6,7,14
ENSG00000225880,45,12,25,25,16,31,31,10,19,18
ENSG00000228794,511,331,322,638,505,372,814,409,434,349
ENSG00000230368,0,0,1,0,0,0,0,0,0,0
ENSG00000234711,0,0,0,0,0,0,2,0,0,0
ENSG00000269308,0,0,0,0,0,0,0,0,0,0
ENSG00000272438,8,0,0,4,18,2,51,11,32,16
ENSG00000230699,33,0,0,18,39,6,120,30,76,83
ENSG00000241180,0,0,0,0,0,0,2,0,0,0
ENSG00000223764,620,17,19,412,834,397,3218,1776,2942,641
ENSG00000187634,1263,32,46,947,1242,1327,5037,3594,2403,518
ENSG00000268179,0,0,0,0,3,0,2,2,0,1
ENSG00000188976,5811,3610,3717,2984,2946,5774,2748,3801,3333,3021
