"","ENSEMBL","SYMBOL"
"1","ENSG00000115461","IGFBP5"
"2","ENSG00000100342","APOL1"
"3","ENSG00000225972","MTND1P23"
"4","ENSG00000187840","EIF4EBP1"
"5","ENSG00000125730","C3"
"6","ENSG00000243137","PSG4"
"7","ENSG00000196711","ALKAL1"
"8","ENSG00000168386","FILIP1L"
"9","ENSG00000143819","EPHX1"
"10","ENSG00000109610","SOD3"
"11","ENSG00000168477","TNXB"
"12","ENSG00000145824","CXCL14"
"13","ENSG00000145425","RPS3A"
"14","ENSG00000067113","PLPP1"
"15","ENSG00000211445","GPX3"
"16","ENSG00000140092","FBLN5"
"17","ENSG00000232573","RPL3P4"
"18","ENSG00000140988","RPS2"
"19","ENSG00000123416","TUBA1B"
"20","ENSG00000163682","RPL9"
"21","ENSG00000105664","COMP"
"22","ENSG00000146859","TMEM140"
"23","ENSG00000131620","ANO1"
"24","ENSG00000196230","TUBB"
"25","ENSG00000070669","ASNS"
"26","ENSG00000090339","ICAM1"
"27","ENSG00000148677","ANKRD1"
"28","ENSG00000163346","PBXIP1"
"29","ENSG00000092621","PHGDH"
"30","ENSG00000133048","CHI3L1"
"31","ENSG00000144713","RPL32"
"32","ENSG00000168028","RPSA"
"33","ENSG00000169116","PARM1"
"34","ENSG00000173457","PPP1R14B"
"35","ENSG00000103257","SLC7A5"
"36","ENSG00000100100","PIK3IP1"
"37","ENSG00000142937","RPS8"
"38","ENSG00000136048","DRAM1"
"39","ENSG00000210195",NA
"40","ENSG00000134333","LDHA"
"41","ENSG00000174444","RPL4"
"42","ENSG00000137154","RPS6"
"43","ENSG00000114942","EEF1B2"
"44","ENSG00000188846","RPL14"
"45","ENSG00000164611","PTTG1"
"46","ENSG00000111669","TPI1"
"47","ENSG00000129009","ISLR"
"48","ENSG00000105640","RPL18A"
"49","ENSG00000121064","SCPEP1"
"50","ENSG00000074800","ENO1"
"51","ENSG00000169583","CLIC3"
"52","ENSG00000206503","HLA-A"
"53","ENSG00000102007","PLP2"
"54","ENSG00000161016","RPL8"
"55","ENSG00000182326","C1S"
"56","ENSG00000159403","C1R"
